Source,Time,Line
May 16–21,May 16 10:49:11,May 16 10:49:11 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:49:11,"May 16 10:49:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:49:41,"May 16 10:49:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:50:11,"May 16 10:50:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:50:32,May 16 10:50:32 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:50:35,May 16 10:50:35 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
May 16–21,May 16 10:50:41,"May 16 10:50:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:51:11,"May 16 10:51:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:51:41,"May 16 10:51:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:52:11,"May 16 10:52:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:52:41,"May 16 10:52:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:53:11,"May 16 10:53:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:53:41,"May 16 10:53:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:54:11,"May 16 10:54:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:54:19,May 16 10:54:19 Antminer local0.notice cgminer[1403]: Pool 0 difficulty changed to 524288
May 16–21,May 16 10:54:41,"May 16 10:54:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:55:11,"May 16 10:55:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:55:41,"May 16 10:55:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:56:11,"May 16 10:56:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:56:41,"May 16 10:56:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:57:11,"May 16 10:57:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:57:41,"May 16 10:57:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:58:11,"May 16 10:58:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:58:41,"May 16 10:58:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:59:11,"May 16 10:59:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:59:41,"May 16 10:59:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:00:11,"May 16 11:00:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:00:32,May 16 11:00:32 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 11:00:41,"May 16 11:00:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:01:11,"May 16 11:01:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:01:41,"May 16 11:01:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:02:11,"May 16 11:02:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:02:41,"May 16 11:02:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:03:11,"May 16 11:03:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:03:41,"May 16 11:03:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:04:11,"May 16 11:04:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:04:41,"May 16 11:04:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:05:11,"May 16 11:05:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:05:41,"May 16 11:05:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:06:11,"May 16 11:06:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:06:41,"May 16 11:06:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:07:11,"May 16 11:07:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:07:41,"May 16 11:07:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:08:11,"May 16 11:08:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:08:41,"May 16 11:08:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:09:11,"May 16 11:09:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 11:09:33,May 16 11:09:33 Antminer local0.notice cgminer[1403]: Pool 0 difficulty changed to 262144
